,bedrooms,bathrooms,floors,waterfront,view,condition,grade,zipcode,lat,long,sqft_living15,sqft_lot15,price,renovated,basement,decade
115,3,3.5,2.0,0,0,3,8,98117,47.6981,-122.368,1830,6350,740500,True,True,<40s
116,3,3.5,3.0,0,0,3,8,98103,47.6824,-122.347,1620,3166,518500,True,False,00s
117,2,1.0,1.0,0,0,4,6,98178,47.5009,-122.248,1190,6780,205425,True,False,40s
118,4,2.0,1.0,0,0,3,6,98168,47.4965,-122.303,1880,9000,171800,True,False,40s
119,4,1.0,1.5,0,0,4,7,98144,47.587,-122.294,1610,4040,535000,False,False,<40s
120,3,2.5,1.0,0,2,3,8,98177,47.7728,-122.386,2340,10856,660000,True,True,60s
121,3,2.0,1.0,0,0,3,7,98034,47.7288,-122.226,1580,9104,391500,True,False,80s
122,2,1.0,1.0,0,0,3,6,98117,47.6999,-122.364,1710,6000,395000,True,False,50s
123,4,1.75,1.5,0,0,5,7,98118,47.5299,-122.266,1850,4400,445000,True,True,<40s
124,3,2.25,2.0,0,0,3,9,98052,47.6897,-122.098,2700,13992,770000,True,False,80s
125,4,2.75,1.5,0,0,3,8,98004,47.6141,-122.212,3060,11275,1450000,True,True,<40s
126,3,2.25,1.0,0,2,3,8,98178,47.5091,-122.244,2660,8712,445000,True,True,60s
127,4,2.25,1.0,0,0,3,8,98023,47.3129,-122.39,2090,8400,260000,True,True,70s
128,5,3.5,2.0,0,0,5,7,98103,47.6763,-122.352,1700,4960,822500,True,True,<40s
129,4,2.5,2.0,0,0,3,7,98065,47.5319,-121.85,1970,3748,430000,True,False,00s
130,3,1.75,1.0,0,0,4,7,98092,47.2761,-122.152,1420,7680,212000,True,False,80s
131,4,2.25,1.0,0,0,3,8,98027,47.5343,-122.054,2060,9793,660500,True,True,80s
132,3,3.5,1.5,0,0,3,9,98052,47.697,-122.072,2480,88500,784000,True,True,80s
133,3,2.5,2.0,0,0,3,8,98029,47.5517,-121.998,1690,1662,453246,True,True,10s
134,4,3.5,3.0,0,0,3,9,98107,47.6734,-122.38,1540,2285,675000,True,False,00s
135,3,1.75,1.0,0,0,4,7,98003,47.3257,-122.296,1550,19265,199000,True,False,50s
136,4,1.75,1.0,0,0,3,7,98003,47.3309,-122.299,1750,8140,220000,True,True,60s
137,4,2.25,1.0,0,0,4,8,98028,47.7689,-122.266,1550,10436,452000,True,True,60s
138,2,1.0,1.0,0,0,3,6,98125,47.7135,-122.287,1060,5715,382500,True,False,80s
139,3,2.25,3.0,0,0,3,8,98107,47.6722,-122.381,1350,1310,519950,True,False,10s
140,2,1.0,1.0,0,0,3,7,98119,47.6338,-122.358,1170,3600,665000,True,False,<40s
141,5,2.5,1.0,0,0,4,8,98006,47.5707,-122.128,2820,9375,527700,False,True,60s
142,3,1.0,1.0,0,0,4,7,98058,47.4563,-122.171,1610,8579,205000,False,True,60s
143,3,1.0,1.0,0,0,4,7,98133,47.7144,-122.351,1560,7940,420000,True,True,<40s
144,4,2.25,1.0,0,0,4,8,98006,47.5495,-122.174,2230,8824,500000,True,True,60s
145,4,2.5,2.0,0,0,4,9,98077,47.7421,-122.026,2840,87991,921500,True,False,90s
146,4,1.0,2.0,0,0,3,8,98109,47.6354,-122.353,2200,4000,890000,True,True,<40s
147,2,2.5,2.0,0,0,3,7,98027,47.5262,-121.943,1940,193842,430000,True,False,00s
148,5,2.0,1.0,0,0,4,8,98032,47.3887,-122.286,1360,18000,258000,True,True,50s
149,3,1.0,1.0,0,0,3,7,98103,47.6873,-122.336,1450,4599,511000,True,True,40s
150,3,2.0,2.0,0,0,3,8,98103,47.6838,-122.353,1500,3090,532170,True,False,80s
151,3,1.0,1.5,0,0,3,7,98107,47.655,-122.359,1420,5000,560000,True,False,40s
152,3,1.0,1.0,0,0,4,7,98003,47.3255,-122.304,1680,8633,282950,True,False,50s
153,4,3.25,2.0,0,3,3,12,98006,47.562,-122.162,3160,9750,2250000,True,True,00s
154,1,1.0,1.0,0,0,3,7,98115,47.679,-122.3,1010,5100,350000,True,False,40s
155,3,1.0,1.0,0,0,4,7,98058,47.4479,-122.176,1190,7669,215000,True,False,60s
156,5,3.5,2.0,0,0,3,9,98056,47.525,-122.172,2640,13675,650000,True,True,90s
157,4,2.75,1.0,0,0,3,8,98023,47.3135,-122.369,1980,7875,320000,True,True,60s
158,3,2.0,1.5,0,0,3,7,98022,47.2086,-121.996,1160,7198,247000,True,False,<40s
159,4,1.75,1.0,0,0,4,8,98059,47.4715,-122.118,1730,11180,320000,True,False,60s
160,5,2.25,1.0,0,0,3,7,98146,47.4877,-122.335,1010,11680,255000,True,True,60s
161,3,1.75,1.0,0,0,3,7,98034,47.7171,-122.193,1200,9660,438000,True,False,60s
162,3,2.5,2.0,0,0,3,10,98075,47.6012,-122.023,3400,12601,900000,False,False,90s
163,3,2.75,1.0,0,0,3,7,98034,47.7319,-122.224,1710,8152,441000,True,True,70s
164,3,2.0,1.0,0,0,4,7,98027,47.4582,-122.023,2110,36590,420000,True,True,70s
165,3,1.75,1.0,0,0,3,7,98034,47.7209,-122.168,1640,7500,370000,True,True,70s
166,2,1.75,1.0,0,0,5,5,98198,47.408,-122.327,1830,9750,269950,True,True,40s
167,4,2.5,2.0,0,0,3,9,98006,47.565,-122.125,2920,4500,807100,True,False,90s
168,3,2.5,1.0,0,0,4,8,98034,47.7028,-122.231,2480,8750,653000,True,True,70s
169,3,2.0,1.0,0,0,5,7,98133,47.7458,-122.331,1770,7288,371500,True,False,60s
170,3,1.75,1.0,0,0,3,7,98166,47.4776,-122.337,1070,7920,284000,True,False,50s
171,3,1.75,1.0,0,0,4,7,98023,47.3026,-122.374,1930,7350,272000,True,True,70s
172,3,1.5,1.5,0,0,3,7,98133,47.7658,-122.339,1480,7940,313000,True,False,50s
173,4,2.5,2.0,0,0,3,10,98033,47.6477,-122.182,3740,35230,917500,True,True,80s
174,4,2.25,2.0,0,0,4,8,98006,47.5619,-122.125,2260,8335,673000,True,False,70s
175,3,2.5,2.0,0,0,3,8,98122,47.6106,-122.31,1590,1795,425000,True,True,00s
176,5,2.75,1.0,0,0,3,7,98144,47.5868,-122.308,1280,2150,399950,True,True,80s
177,3,1.0,1.0,0,0,3,6,98122,47.6101,-122.307,1200,4800,385000,True,False,<40s
178,3,1.5,1.0,0,2,4,7,98022,47.1976,-121.999,1950,8941,269950,False,True,70s
179,2,1.0,1.0,0,0,3,7,98177,47.7224,-122.358,1540,8280,330000,True,True,40s
180,3,2.5,2.0,0,0,3,7,98030,47.3505,-122.179,1670,6183,260000,False,False,80s
181,4,3.0,1.5,0,0,4,7,98126,47.5384,-122.376,1410,5375,470000,True,True,<40s
182,4,3.0,2.0,0,0,5,7,98034,47.7044,-122.2,2290,9600,589000,True,False,60s
183,2,1.5,2.0,0,0,3,7,98038,47.3848,-122.039,1050,3417,163500,False,False,90s
184,4,2.75,2.0,0,0,3,9,98052,47.6993,-122.102,2260,9984,835000,True,True,90s
185,5,3.0,1.0,0,2,4,10,98033,47.6627,-122.188,2540,10270,1100000,True,True,80s
186,4,1.75,1.0,0,0,4,8,98023,47.3099,-122.379,2190,8910,269000,True,True,60s
187,3,2.5,2.0,0,0,3,8,98074,47.62,-122.043,2030,8744,560000,True,False,80s
188,4,1.0,1.5,0,0,4,6,98103,47.65,-122.34,1330,4400,615000,False,False,<40s
189,3,2.25,1.0,0,0,3,8,98052,47.6647,-122.153,2230,9340,585188,False,True,70s
190,3,1.75,1.0,0,0,3,7,98034,47.726,-122.191,1540,8400,305000,True,True,70s
191,3,1.0,1.0,0,0,3,6,98058,47.4616,-122.184,1230,7980,166950,True,False,50s
192,3,2.5,1.0,0,0,4,8,98040,47.5505,-122.219,2680,10083,799000,True,False,50s
193,3,2.5,1.0,0,0,4,7,98133,47.7606,-122.336,1900,7818,400000,True,True,60s
194,3,1.0,1.0,0,0,3,7,98155,47.7481,-122.3,1570,10228,230000,True,False,40s
195,3,2.5,2.0,0,0,3,8,98023,47.2779,-122.347,2550,5001,256883,True,False,00s
196,4,2.0,1.5,0,0,5,7,98108,47.5511,-122.312,1500,6480,423000,True,True,<40s
197,3,2.5,2.0,0,0,3,8,98126,47.5488,-122.372,1750,2385,465000,True,False,00s
198,3,2.5,2.0,0,0,3,7,98024,47.5385,-121.911,2330,67268,440000,True,False,90s
199,3,1.75,1.0,0,0,4,7,98038,47.4058,-121.994,1560,50965,385000,True,False,60s
200,3,1.0,1.0,0,0,4,6,98056,47.5093,-122.184,1300,9514,210000,True,False,40s
201,3,2.5,2.0,0,0,3,8,98042,47.3777,-122.165,2030,10450,297000,True,False,90s
202,3,1.0,1.0,0,0,3,7,98107,47.675,-122.394,1680,5000,470000,True,False,50s
203,3,1.5,1.0,0,0,4,7,98023,47.3025,-122.37,1430,7500,226500,True,True,70s
204,3,1.0,1.0,0,0,4,6,98059,47.4787,-122.158,1400,8040,274250,True,False,60s
205,4,1.75,1.0,0,0,4,9,98040,47.5378,-122.219,2770,10744,840000,True,True,60s
206,3,2.5,2.0,0,0,3,8,98052,47.7073,-122.114,2750,4587,677900,True,False,00s
207,3,1.0,1.0,0,0,3,7,98116,47.5733,-122.381,1290,5000,425000,True,False,<40s
208,2,0.75,1.0,0,0,3,6,98166,47.4604,-122.339,1250,14280,180250,True,False,40s
209,6,3.0,2.0,0,0,3,7,98133,47.7067,-122.343,1560,1312,464000,True,True,<40s
210,4,2.25,2.0,0,0,3,8,98038,47.354,-122.047,1630,6397,320000,True,False,90s
211,3,2.25,2.0,0,0,3,8,98105,47.6647,-122.284,1160,1327,625504,True,True,10s
212,4,2.5,1.0,0,0,3,9,98074,47.6143,-122.017,2520,12368,592500,True,False,80s
213,3,2.5,2.0,0,0,3,9,98001,47.3185,-122.275,2590,18386,465000,True,False,00s
214,4,2.75,2.0,0,0,3,8,98118,47.5458,-122.268,2130,8700,477000,True,False,70s
215,2,1.0,1.0,0,0,3,6,98168,47.4889,-122.299,1100,14459,280000,True,False,<40s
216,5,3.0,1.0,0,3,3,9,98040,47.5673,-122.21,3836,20953,1510000,True,True,50s
217,3,2.5,2.0,0,0,3,8,98146,47.5133,-122.379,1320,5390,445838,True,False,90s
218,2,2.25,1.0,0,3,3,8,98144,47.5884,-122.291,2580,5184,1070000,True,True,40s
219,2,1.5,1.0,0,0,4,8,98177,47.7145,-122.367,2120,12040,467000,True,False,40s
220,4,2.5,2.0,0,0,3,10,98075,47.5836,-122.026,3070,8127,686000,True,False,90s
221,3,2.0,1.0,0,0,3,7,98198,47.398,-122.299,1900,10125,279950,True,True,60s
222,4,2.25,2.0,0,0,3,8,98011,47.7663,-122.215,1910,10055,527000,True,False,80s
223,3,2.25,1.0,0,0,4,8,98030,47.3758,-122.217,2080,9583,325000,True,True,60s
224,3,2.25,2.0,0,0,3,7,98038,47.3828,-122.023,2020,8031,328000,False,False,90s
225,3,2.25,1.0,0,0,5,7,98146,47.5123,-122.373,1280,7392,390000,True,False,40s
226,2,2.0,1.0,0,0,3,8,98053,47.7076,-122.013,1640,6009,479950,True,False,00s
227,4,2.25,1.0,0,0,4,7,98023,47.2922,-122.371,1510,9753,264950,True,True,70s
228,3,1.0,1.0,0,0,4,7,98031,47.4075,-122.214,1960,13068,235000,True,True,60s
229,3,2.5,2.0,0,0,3,7,98053,47.6794,-122.034,2250,4729,516500,True,False,00s
230,2,1.75,2.0,1,4,3,7,98166,47.4497,-122.375,2030,13193,655000,True,True,<40s
231,4,2.75,1.0,0,0,5,7,98059,47.5218,-122.164,2280,15347,500000,False,False,50s
232,6,2.75,1.0,0,0,3,8,98023,47.3103,-122.339,2120,8236,315000,True,True,70s
233,2,1.0,1.0,0,0,3,6,98024,47.5687,-121.899,1150,13702,213000,True,False,60s
234,3,1.5,1.5,0,0,5,7,98108,47.5575,-122.303,2090,4800,475000,True,True,40s
235,5,4.0,2.0,0,0,3,10,98033,47.6489,-122.183,3430,35096,1030000,True,False,80s
236,3,2.0,1.0,0,0,5,7,98010,47.3459,-121.95,2070,80100,416000,True,True,70s
237,4,1.0,1.5,0,0,3,7,98122,47.6136,-122.303,1510,4740,410000,True,True,<40s
238,3,3.5,2.0,0,0,3,10,98077,47.7641,-122.023,2920,148539,800000,True,True,90s
239,6,2.5,1.0,0,2,4,9,98003,47.3376,-122.324,2600,13988,472000,True,True,60s
240,3,1.75,1.0,0,0,4,7,98003,47.3173,-122.319,1190,8640,225000,True,False,60s
241,2,1.0,1.0,0,0,3,6,98126,47.5308,-122.376,830,4960,210000,False,False,<40s
242,2,1.0,1.5,0,0,2,7,98115,47.6727,-122.299,1450,3750,455000,True,False,<40s
243,3,1.0,1.0,0,0,4,6,98002,47.3221,-122.216,1260,8316,225000,True,False,50s
244,2,1.0,1.0,0,2,4,7,98103,47.6779,-122.353,1390,3060,480000,True,True,<40s
245,3,2.5,2.0,0,0,3,9,98023,47.3076,-122.395,2570,10377,363000,True,False,80s
246,4,2.5,1.0,1,4,3,9,98074,47.6338,-122.072,3120,18841,2400000,True,True,90s
247,2,1.5,1.0,0,0,3,6,98106,47.5218,-122.357,1150,2566,181000,True,False,50s
248,4,2.0,1.0,0,0,4,7,98002,47.2785,-122.213,2010,7650,250000,False,False,70s
249,3,1.75,1.0,0,0,4,6,98103,47.6846,-122.345,1390,3000,481000,True,True,<40s
250,3,2.0,1.0,0,0,4,7,98032,47.3656,-122.278,1750,7209,260000,True,True,70s
251,4,2.5,2.0,0,0,3,9,98058,47.4369,-122.111,3060,6567,455000,True,False,00s
252,3,2.25,2.0,0,0,3,8,98045,47.4616,-121.711,1730,36224,415000,True,False,90s
253,3,1.0,1.0,0,0,3,7,98118,47.5405,-122.27,1620,6331,349500,True,True,50s
254,3,2.5,2.0,0,0,3,7,98030,47.3507,-122.178,1630,6458,245000,True,False,80s
255,2,2.0,1.5,0,2,5,7,98115,47.6979,-122.32,1420,6816,592500,False,False,<40s
256,4,1.75,1.0,0,0,4,7,98106,47.5278,-122.345,1910,7620,385000,True,True,50s
257,3,1.75,1.0,0,0,4,7,98059,47.4756,-122.147,1550,10650,315000,True,True,70s
258,3,1.0,1.0,0,0,3,7,98045,47.4437,-121.772,1380,10098,255000,True,False,70s
259,4,2.5,2.0,0,0,3,8,98052,47.7048,-122.109,2990,5659,693000,True,False,00s
260,3,1.0,1.5,0,0,3,8,98112,47.6362,-122.302,1660,4400,780000,False,True,<40s
261,3,1.75,1.0,0,0,4,7,98198,47.4207,-122.29,1600,8470,237000,True,False,50s
262,3,2.25,2.0,0,0,3,10,98074,47.6154,-122.047,2380,33450,525000,True,True,70s
263,2,1.0,1.0,0,0,3,5,98144,47.5964,-122.299,1330,2580,425000,True,False,<40s
264,1,0.75,1.0,1,4,5,5,98070,47.4683,-122.438,1230,14267,369900,True,False,<40s
265,4,2.5,2.0,0,0,4,7,98031,47.4045,-122.171,1950,7475,290000,True,False,80s
266,3,1.0,1.0,0,0,3,7,98106,47.5544,-122.358,1130,6350,285000,True,False,50s
267,2,1.0,1.0,0,0,3,7,98115,47.6802,-122.29,1320,4465,415000,True,False,<40s
268,3,2.5,1.0,0,0,3,8,98023,47.2988,-122.371,2070,8250,272500,False,True,70s
269,4,3.25,1.5,0,2,3,11,98004,47.6312,-122.223,3890,20060,2900000,True,True,80s
270,4,4.75,2.0,0,0,4,11,98077,47.7285,-122.042,4180,47443,1370000,True,False,80s
271,2,1.0,1.0,0,0,4,7,98133,47.7107,-122.352,1440,7530,436000,True,False,<40s
272,3,1.0,1.0,0,0,4,7,98003,47.3271,-122.323,1350,8164,210000,True,False,60s
273,3,1.0,1.0,0,0,3,7,98178,47.5053,-122.255,1320,7619,236000,True,False,60s
274,3,1.75,1.0,0,0,3,7,98199,47.6601,-122.4,1440,2225,331000,True,True,50s
275,3,2.5,2.0,0,0,3,8,98031,47.4145,-122.166,2653,4927,365000,False,False,00s
276,3,2.0,1.0,0,0,5,8,98058,47.4672,-122.165,1660,10530,450000,True,False,50s
277,4,2.75,2.0,0,0,3,9,98028,47.7618,-122.261,1860,12136,770000,True,True,10s
278,4,2.5,1.0,0,0,3,8,98038,47.3828,-122.071,2670,49385,455000,True,False,90s
279,3,1.75,1.0,0,0,3,6,98118,47.5362,-122.268,2020,6000,405000,True,True,<40s
280,4,1.75,1.0,0,0,4,7,98031,47.3954,-122.206,1720,11088,304900,True,True,60s
281,2,1.0,1.0,0,0,3,6,98178,47.5048,-122.272,1650,8775,170000,True,False,<40s
